id,zip
16304,92110
16318,92078
16322,92008
16327,92117
16343,92101
16344,92103
16362,92064
16386,92121
16387,92081
16388,92054
16396,92071
16450,92020
16458,92020
16498,92129
16501,92127
16503,92078
16504,92010
16520,92024
16521,92081
16522,92071
16527,92024
16543,92103
16571,92122
16590,92111
16595,92067
16596,91910
16602,91910
16603,91977
16604,92056
16620,92054
16621,92108
16624,92110
16648,92154
16672,91942
16683,92108
16699,92127
16713,92078
16716,92078
16737,92121
16740,91945
16748,92020
16760,92029
16761,92107
16806,92111
16831,92075
16870,92115
16877,92103
16928,92103
16934,92064
16947,92115
16967,92127
16988,92117
16991,91950
17013,92101
17020,92109
17026,92071
17030,91977
17039,92109
17041,92081
17047,92054
17067,92037
17072,92054
17079,92104
17087,92064
17089,92113
17107,92107
17108,92109
17127,92126
17145,92054
17153,92102
17177,91950
17206,92024
17207,92101
17210,91977
17218,91945
17231,92105
17263,92025
17275,92108
17304,92111
17305,92009
17308,92081
17324,92054
17367,92008
17388,92037
17396,92071
17397,92110
17403,92122
17450,92008
17452,92111
17455,92108
17465,92037
17467,92109
17477,92026
17490,91910
17492,92113
17499,92128
17509,92027
17529,92121
17534,91915
17549,92027
17554,92121
17562,92111
17567,92014
17583,91911
17587,92108
17600,92020
17602,91945
17607,92025
17611,92065
17647,92037
17650,92121
17651,92111
17690,92101
17697,92025
17705,92121
17715,92109
17716,92126
17724,92129
17726,92108
17746,92132
17803,91911
17809,92101
17835,92108
17849,92110
17896,92025
17902,92011
17904,92111
17933,92121
17940,92131
17964,92109
17968,92008
17969,92024
17981,92078
18027,92081
18049,92056
18052,91910
18057,91942
18061,92154
18068,91942
18071,92104
18100,91911
18102,92025
18105,91950
18118,92109
18135,92037
18136,92037
18139,92111
18205,92117
18209,92064
18221,92129
18223,92029
18232,92111
18244,92101
18246,92121
18250,92173
18320,92103
18322,92110
18325,92104
18347,92078
18365,91942
18393,92154
18394,92154
18428,91977
18434,92020
18451,92101
18455,92103
18467,91914
18480,92111
18516,92026
18520,92075
18521,92111
18585,92064
18586,92064
18587,91913
18590,92101
18615,92106
18616,92111
18617,92124
18620,92124
18636,92109
18649,92154
18652,92126
18661,92101
18665,92110
18667,91910
18681,92027
18684,92037
18700,91913
18720,92024
18721,91910
18729,92101
18730,91950
18733,92154
18737,92121
18738,92123
18742,92108
18743,92109
18749,91911
18755,92101
18760,92101
18771,92027
18777,92105
18779,92104
18780,91950
18781,91950
18784,92110
18786,92110
18788,91945
18793,92009
18797,92134
18801,92101
18827,92101
18830,92103
18831,92008
18840,92120
18841,92025
18842,92025
18843,92010
18844,92025
18845,92029
18846,92128
18870,92104
18885,91913
18915,91913
18917,92108
18921,92104
18925,92126
18939,91950
18944,92123
18957,92128
18966,92101
18969,92024
18975,91950
18988,92025
18990,91950
18991,92008
19031,92128
19045,92101
19046,92025
19049,92024
19114,91910
19115,92123
19125,92020
19129,92108
19136,92037
19137,92121
19230,92108
19239,91950
19268,92008
19276,92020
19278,92129
19285,92120
19292,92008
19325,92115
19326,91910
19345,91911
19364,92117
19370,92010
19371,92071
19392,91915
19406,92116
19428,92103
19453,92121
19457,92121
19464,92064
19479,92105
19485,92075
19490,92154
19494,92065
19508,92126
19527,92107
19528,92024
19561,92121
19575,91915
19593,92111
19601,92029
19628,92120
19633,92103
19634,91945
19675,92128
19692,91910
19715,92111
19726,91911
19761,92105
19762,92115
19763,91942
19770,92108
19776,92065
19798,92071
19801,92108
19830,91911
19839,92124
19844,92054
19865,92037
19895,92109
19900,92122
19917,92109
19929,91913
19931,92071
19945,92127
19992,91942
19996,92064
20000,92024
20001,92029
20021,92117
20028,92010
20049,92102
20055,92121
20062,92025
20076,92037
20077,92111
20079,92008
20087,92071
20117,91950
20126,92126
20137,92122
20154,92121
20159,92126
20164,92130
20168,92139
20171,92121
20188,92108
20215,92113
20221,91942
20264,92109
20278,91910
20290,91950
20296,92025
20301,92154
20320,92129
20367,92117
20372,92113
20379,92037
20390,92025
20416,92108
20437,91911
20442,92128
20456,92106
20473,92104
20476,92108
20481,92037
20524,91950
20533,92020
20534,92130
20543,92154
20570,92120
20572,92122
20580,92101
20595,92065
20609,92111
20614,92009
20618,92065
20629,92121
20643,92025
20658,92101
20669,92131
20672,92103
20679,92110
20682,92113
20686,92111
20693,92108
20705,92127
20712,92154
20716,92103
20724,92101
20740,92014
20773,91950
20791,91950
20793,91950
20799,92081
20831,92109
20834,92071
20864,92071
20869,92029
20887,92106
20893,91942
20909,92103
20916,92107
20918,92008
20925,92173
20932,92020
20937,92064
20941,92111
20944,92104
20962,92027
20969,91932
20977,92108
20982,92154
20985,92025
20987,92024
21024,92123
21028,92101
21029,92111
21038,92123
21051,92101
21058,92105
21066,91942
21069,92011
21090,92126
21102,92075
21114,92029
21126,92128
21137,92173
21138,92121
21145,92078
21160,92008
21163,92037
21181,92037
21184,92105
21206,92121
21223,91942
21224,92101
21242,92121
21246,92101
21277,92118
21299,92121
21300,92103
21309,92110
21311,92020
21312,92117
21317,92071
21320,92120
21323,91945
21328,92025
21351,92071
21370,92139
21385,92129
21413,91942
21415,92101
21417,92024
21418,92024
21428,92011
21432,92111
21438,92108
21451,92109
21465,91950
21485,92116
21497,91911
21498,91911
21513,92014
21540,91910
21552,92037
21564,92102
21568,92105
21584,91910
21586,92014
21600,92104
21618,91945
21636,92008
21641,92056
21649,92108
21653,92037
21666,92025
21667,92026
21673,92126
21677,92111
21681,92008
21683,91910
21696,92113
21706,91942
21711,92111
21712,92081
21736,92121
21747,92131
21752,92024
21758,92054
21775,92121
21799,92104
21803,92025
21827,92008
21829,92029
21851,92081
21880,92014
21903,92037
21904,92071
21943,92117
21953,92020
21957,91910
21992,92054
22000,91950
22010,92123
22011,92103
22016,92020
22025,92078
22044,92037
22059,92128
22062,91911
22064,92115
22069,92109
22072,91911
22089,92011
22116,92065
22122,91911
22146,91914
22155,92109
22175,92029
22187,91910
