geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730079071,79071,6256316.024405448,1870908.0221902248,102331,115634,31.1,1554,79.0,91.0,6401.0
060730079072,79072,6257454.018342442,1871166.7584991576,83265,108692,36.0,1442,107.0,165.0,4718.0
060730079081,79081,6258973.314484754,1872302.9477883866,62405,91428,34.0,686,122.0,271.0,7702.0
060730079082,79082,6259146.608844786,1871600.3422678886,76054,128316,35.7,1164,42.0,43.0,786.0
060730079083,79083,6259296.625069267,1870909.4673296423,103142,126088,28.8,1069,18.0,15.0,0.0
060730079101,79101,6253691.955869077,1869997.759994589,82019,117670,36.7,1366,302.0,484.0,45507.0
060730079102,79102,6254610.724665027,1870915.4611579007,80078,91127,24.2,1342,240.0,657.0,11268.0
060730079111,79111,6259152.050319026,1873982.490392623,113854,149654,30.1,989,23.0,20.0,225.0
060730079112,79112,6258846.459227893,1873133.805065602,68246,109016,39.5,1245,241.0,365.0,6217.0
060730079113,79113,6257581.400490857,1872802.1894624308,55509,74717,39.5,397,70.0,122.0,3967.0
060730079121,79121,6256124.26835259,1872860.3765073086,129917,176129,30.6,952,98.0,285.0,8994.0
060730079122,79122,6257694.904413062,1873795.966211813,84374,100246,26.1,946,18.0,18.0,0.0
060730080021,80021,6255485.20680995,1874651.5491748464,193878,251455,22.5,813,15.0,15.0,337.0
060730080022,80022,6256564.646294796,1875762.251678582,171743,241372,21.9,1032,26.0,40.0,0.0
060730080023,80023,6258376.671674049,1875265.1537468247,135862,181009,28.7,774,25.0,20.0,0.0
060730080031,80031,6252602.964843625,1873805.6699504764,197889,239770,22.1,1097,59.0,86.0,4604.0
060730080032,80032,6253969.586609228,1874317.064383753,139316,180838,27.2,1301,55.0,74.0,674.0
060730080033,80033,6251635.994536899,1873935.3183929888,115408,199553,31.9,853,23.0,56.0,0.0
060730080061,80061,6249401.206952069,1875822.470369297,174829,230139,24.2,820,141.0,162.0,1180.0
060730080062,80062,6250593.926203815,1876080.3034706782,92777,121674,32.7,790,24.0,87.0,1684.0
060730080063,80063,6251911.163265083,1875257.7473023124,92986,104444,27.4,684,55.0,68.0,1586.0
060730080064,80064,6252012.051384756,1876144.5382895917,111966,156057,25.0,722,33.0,78.0,2817.0
060730080065,80065,6253552.0038323235,1876008.935014931,128030,171524,24.5,878,49.0,289.0,562.0
060730081011,81011,6246426.7094732635,1885106.272660576,138260,232198,24.0,620,33.0,67.0,1030.0
060730081012,81012,6247101.402919424,1885814.5969857338,87683,175740,34.8,794,125.0,579.0,3876.0
060730081013,81013,6245394.849960436,1884712.4505918785,88552,171727,39.2,784,75.0,136.0,3314.0
060730081014,81014,6245732.068311937,1883028.8098814029,88853,149413,32.6,934,40.0,61.0,460.0
060730081015,81015,6246921.556577922,1883239.7156199613,120776,174182,28.5,843,38.0,87.0,1291.0
060730081021,81021,6246485.109351531,1879933.175350315,200001,277668,15.5,851,115.0,209.0,3536.0
060730081022,81022,6247519.573522681,1880484.6198794718,119150,192124,31.2,1160,34.0,79.0,337.0
060730081023,81023,6249303.013230974,1877839.568342669,186879,249649,22.2,1417,105.0,223.0,394.0
060730082011,82011,6246471.029186219,1887803.71799411,117847,172481,31.9,939,743.0,1804.0,21646.0
060730082012,82012,6248196.878092651,1888893.0058927892,148493,220896,30.3,894,665.0,1249.0,21403.0
